label,text
SMANIAC,2 2 ( 8 0 0 2 ) 6 4 8 0 1 0 ( 6 0 0 4 ) 8 2 6 4 7 0 ( 2 6 0 0 ) ( 6 2 0 0 ) ( 2 4 0 0 ) ( 4 2 0 0 ) 8 4 8 6 8 2 A 0 ( 6 0 0 4 ) 8 2 6 0 7 0 ( 2 0 0 6 ) 8 2 4 6 9 0 ( 2 4 0 0 ) ( 4 2 0 0 ) ( 2 6 0 0 ) ( 6 2 0 0 ) 8 6 8 4 8 2 A 0 9 ! 8 0 4 0 9 0 6 2 6 8 4 8 6 4 B 0 ( 8 4 0 0 ) 6 6 ( 8 6 0 0 ) 4 4 6 8 4 8 6 2 A 0 3 ! 2 0 4 0 3 0 4 8 4 2 6 2 4 6 B 0 ( 2 6 0 0 ) 4 4 ( 2 4 0 0 ) 6 6 4 2 6 2 4 8 A 0 4 2 ( 4 0 2 4 ) ( 0 2 4 0 ) 2 4 6 2 ( 6 0 2 6 ) ( 0 2 6 0 ) 8 6 4 6 ( 4 0 6 4 ) ( 0 6 4 0 ) 6 4 8 2 ( 8 0 2 8 ) ( 0 2 8 0 ) 4 6 ( 2 0 0 8 ) 4 6 2 0 9 6 ( 4 0 0 6 ) 2 8 4 6 3 0 ( 8 4 0 0 ) ( 4 8 0 0 ) ( 8 6 0 0 ) ( 6 8 0 0 ) 2 6 2 4 2 8 A 8 ( 4 0 0 6 ) 2 8 4 0 3 2 ( 8 0 0 4 ) 2 8 6 4 1 0 ( 8 6 0 0 ) ( 6 8 0 0 ) ( 8 4 0 0 ) ( 4 8 0 0 ) 2 4 2 6 2 8 A 0 1 ! 2 0 6 0 1 0 4 2 4 8 6 8 4 6 B 0 ( 2 6 0 0 ) 8 8 ( 2 4 0 0 ) 8 8 4 2 6 2 4 8 A 0 7 ! 8 0 6 0 7 0 6 8 6 2 4 2 6 4 B 0 ( 8 4 0 0 ) 2 2 ( 8 6 0 0 ) 2 2 6 8 4 8 6 2 A 8 ( 4 0 0 2 ) 4 6 8 2 2 8 ( 6 0 0 2 ) 6 4 8 2 2 8 ( 4 0 0 6 ) 8 2 4 6 6 2 8 4 6 4 2 2 A 0 ( 6 0 0 2 ) 6 4 8 2 2 8 ( 4 0 0 2 ) 4 6 8 2 2 8 ( 6 0 0 4 ) 8 2 6 4 4 2 8 6 4 6 2 0 A 
SMANIAC,6 0 ( 6 0 0 4 ) 6 8 2 4 6 6 ( 6 0 8 2 8 2 8 0 ) 6 0 4 4 ( 4 0 8 2 0 6 0 4 ) 2 0 8 8 ( 8 0 6 2 8 2 8 0 ) 4 0 2 2 ( 2 0 8 6 0 6 0 6 ) 2 0 8 4 ( 2 0 8 6 8 6 2 0 ) 8 0 4 2 ( 2 0 8 6 0 4 0 2 ) 4 0 6 6 ( 8 0 2 4 6 4 6 0 2 0 8 4 2 4 2 0 8 0 6 4 8 2 8 0 ) 4 6 0 8 8 2 4 0 0 0 0 6 6 2 4 0 0 0 2 2 ( 6 0 0 4 ) 2 2 8 0 6 4 ( 2 0 0 8 ) 6 2 8 4 0 6 6 0 ( 8 0 0 2 ) 0 4 0 6 6 0 ( 2 0 0 8 ) 0 4 6 8 ( 2 0 4 2 0 8 0 6 ) 4 0 8 2 ( 6 0 4 2 0 8 0 6 ) 4 0 6 0 ( 6 0 0 8 ) 2 4 6 2 8 0 ( 8 0 0 4 ) 8 2 6 8 2 0 ( 2 0 0 8 ) 6 4 8 2 0 2 2 0 ( 6 0 0 6 ) 0 6 4 0 ( 4 0 0 2 ) 8 6 8 4 0 8 8 0 ( 6 0 0 4 ) 0 2 0 8 6 2 8 0 4 2 0 8 6 2 8 0 B 0 0 8 2 0 ( 4 0 0 4 ) 0 6 0 2 8 4 6 1 0 0 8 0 ( 8 0 0 6 ) 4 2 8 6 0 2 2 0 ( 8 0 0 4 ) 0 2 8 0 ( 8 0 0 6 ) 2 8 4 2 0 8 8 0 3 0 1 0 B 0 ( 8 0 0 2 ) 4 6 2 8 0 4 6 8 2 0 B 0 2 8 4 0 ( 6 0 0 2 ) 0 8 4 2 8 6 4 3 0 0 B 
SMANIAC,8 6 2 8 4 0 2 4 2 8 B 0 4 2 0 0 8 6 2 0 7 0 8 2 6 8 2 4 0 0 3 0 4 0 ( 2 4 2 4 ) 0 0 8 8 2 2 6 2 8 0 ( 4 0 0 8 ) 4 0 ( 6 0 0 2 ) 6 0 4 2 8 6 2 8 B 0 6 6 2 0 4 4 2 0 8 2 4 6 8 6 4 0 7 0 ( 8 4 0 0 ) 9 0 ( 8 6 0 0 ) 2 6 8 4 6 0 0 6 ( 8 0 6 4 ) 6 4 6 2 ( 6 2 6 0 0 0 4 6 ) 4 6 4 2 ( 4 2 4 0 0 0 2 4 ) 2 8 2 8 ( 6 8 6 0 ) 0 2 6 4 2 8 2 6 4 0 0 8 2 0 0 6 4 2 8 6 4 0 0 8 2 0 8 6 2 8 4 0 2 4 2 8 B 0 6 2 0 0 ( 8 4 8 4 ) 8 0 ( 2 6 2 6 ) 2 0 ( 6 4 6 4 ) 6 0 4 6 2 0 8 4 2 8 6 0 2 6 8 2 B 0 4 2 0 0 ( 4 2 4 2 ) 4 0 ( 6 8 6 8 ) 6 0 ( 8 2 8 2 ) 8 0 6 4 8 0 2 8 4 2 4 0 6 8 2 4 1 0 6 2 0 0 4 0 4 0 4 2 8 6 2 8 4 6 ( 4 2 4 2 ) 4 0 2 8 6 2 6 0 4 8 2 6 3 0 4 2 0 0 6 0 6 0 6 2 8 4 2 8 6 2 ( 6 8 6 8 ) 6 0 8 6 2 8 4 0 2 4 8 2 B 0 4 2 4 6 2 8 2 0 6 2 8 4 2 6 2 4 0 7 3 0 0 9 1 0 0 6 2 8 4 6 B 
SMANIAC,8 0 6 0 2 0 4 0 8 0 6 0 2 0 4 0 0 0 A 0 B 0 0 0 8 4 2 8 6 6 6 0 6 8 4 6 2 2 2 0 2 6 8 2 4 4 4 0 2 6 8 2 4 4 4 0 4 2 6 4 8 8 8 0 8 4 6 8 2 4 8 2 6 8 4 8 6 2 4 0 8 6 4 8 2 6 8 2 4 8 6 8 4 2 6 0 4 2 4 0 3 0 8 4 4 2 8 6 4 0 2 0 8 6 2 4 2 6 8 0 1 0 3 0 8 0 8 4 2 0 B 0 8 6 2 8 4 0 3 0 4 0 2 8 6 2 4 0 B 0 8 4 2 0 6 0 8 0 2 8 4 0 2 0 6 0 4 6 8 0 4 0 2 0 8 2 6 0 8 0 4 0 6 4 2 0 A 0 B 0 0 0 8 4 8 4 6 2 6 2 8 4 6 2 8 4 A 0 6 2 6 2 8 4 8 4 6 2 8 4 6 2 A 0 4 6 4 6 8 2 4 8 2 6 8 2 4 8 A 0 6 4 6 4 8 2 6 8 2 4 8 2 6 8 A 0 6 4 2 1 0 8 6 0 2 6 8 0 B 0 3 0 8 0 4 8 2 6 6 8 2 4 4 8 2 6 8 0 B 0 1 0 8 0 6 4 8 2 6 0 3 0 8 4 2 4 6 6 8 2 4 4 8 2 6 6 4 8 A 0 6 0 8 2 4 0 4 8 2 0 6 4 8 2 6 6 8 2 4 0 2 8 6 0 3 0 8 4 6 8 A 0 8 0 6 2 6 8 2 0 6 0 2 4 2 6 4 0 2 0 4 8 4 2 8 0 4 0 8 6 8 4 6 6 8 0 A 0 B 0 0 0 
MANIAC,1 0 6 0 2 6 4 0 8 0 2 4 6 2 4 0 3 0 4 0 2 4 6 0 8 0 2 6 4 2 6 0 8 0 8 0 B 0 6 2 8 0 7 0 3 0 0 0 4 0 2 0 6 8 4 0 2 0 6 0 4 0 B 0 0 0 4 0 2 0 8 2 6 0 8 0 B 0 4 2 8 0 2 0 6 8 2 0 8 2 6 2 4 0 6 8 4 0 6 0 8 4 6 0 4 6 8 6 6 0 8 4 2 0 8 0 4 2 8 0 2 8 4 8 6 0 4 2 6 0 8 0 4 0 2 0 6 0 8 0 4 0 2 0 6 0 8 0 6 0 8 0 4 0 2 0 6 0 8 0 4 0 2 0 6 0 8 0 4 0 2 0 4 0 2 0 6 0 8 0 4 0 2 0 6 0 8 0 4 2 6 0 6 0 0 8 0 0 2 0 0 4 0 2 6 6 2 0 4 0 0 8 0 0 2 0 0 6 0 2 4 4 2 0 6 0 0 8 0 0 2 0 0 4 0 2 6 6 2 0 4 0 0 8 0 0 2 0 0 6 0 2 4 4 2 0 8 0 0 0 6 8 4 0 0 0 6 2 4 2 6 0 6 0 7 0 2 6 8 0 B 0 2 4 8 4 2 0 2 0 9 0 4 2 6 0 A 0 4 8 6 8 4 0 4 0 3 0 8 4 2 0 B 0 8 6 2 6 8 0 8 0 1 0 6 8 4 0 A 0 6 2 4 2 6 0 4 2 6 0 0 0 8 0 0 0 3 0 2 0 1 0 6 2 4 0 0 0 8 0 0 0 1 0 2 0 3 0 4 2 6 0 0 0 8 0 0 0 3 0 2 0 1 0 6 2 4 0 0 0 8 0 0 0 1 0 2 0 3 0 6 8 4 0 2 0 6 0 4 2 6 0 2 4 8 0 6 8 4 0 2 0 6 0 4 2 6 0 2 4 8 0 6 0 4 0 2 0 6 0 4 2 6 0 2 4 8 0 6 8 4 0 2 0 6 0 4 2 6 0 2 4 8 0 8 6 6 6 8 6 6 0 8 4 4 4 8 4 4 0 2 4 2 4 4 4 4 0 2 6 2 6 6 6 6 0 8 0 4 0 2 0 6 8 4 0 2 0 6 0 8 4 2 0 6 0 8 0 4 2 6 0 8 0 4 
MANIAC,F 0 6 0 2 D 4 0 8 0 2 4 D 2 4 0 3 0 4 0 2 C 6 0 8 0 2 6 C 2 6 0 8 0 8 0 B 0 D 2 8 0 I 0 3 0 0 0 4 0 2 0 6 8 C 0 2 0 6 0 4 0 M 0 0 0 4 0 2 0 C 8 6 0 D 0 B 0 C 2 8 0 2 0 6 C 2 0 8 6 C 2 4 0 D 8 4 0 6 0 8 4 D 0 C 6 8 6 6 0 8 4 2 0 8 0 4 2 C 0 2 8 4 8 D 0 C 2 6 0 8 0 4 0 2 0 6 0 C 0 4 0 2 0 6 0 8 0 D 0 8 0 4 0 2 0 6 0 8 0 C 0 2 0 6 0 8 0 4 0 2 0 C 0 2 0 6 0 8 0 4 0 2 0 6 0 C 0 4 2 6 0 D 0 0 8 0 0 2 0 0 C 0 2 6 6 2 0 4 0 0 8 0 0 2 0 0 D 0 2 4 4 2 0 6 0 0 C 0 0 2 0 0 4 0 2 6 6 2 0 4 0 0 D 0 0 2 0 0 6 0 2 4 4 2 0 8 0 0 0 D 8 4 0 0 0 6 2 C 2 D 0 6 0 7 0 2 6 C 0 I 0 2 4 8 C 2 0 2 0 9 0 4 2 6 0 A 0 4 8 6 8 4 0 4 0 J 0 8 4 2 0 H 0 8 D 2 6 C 0 8 0 1 0 6 8 4 0 A 0 D 2 C 2 6 0 4 2 D 0 0 0 8 0 0 0 3 0 2 0 1 0 6 2 C 0 0 0 8 0 0 0 1 0 2 0 3 0 4 2 D 0 0 0 8 0 0 0 3 0 2 0 1 0 6 2 C 0 0 0 8 0 0 0 1 0 2 0 3 0 D 8 4 0 2 0 6 0 C 2 6 0 2 4 8 0 6 8 4 0 2 0 6 0 C 2 6 0 2 4 D 0 6 0 C 0 2 0 6 0 4 2 D 0 2 C 8 0 6 8 4 0 2 0 6 0 C 2 D 0 2 4 D 0 8 6 6 6 C 6 6 0 8 4 4 4 D 4 4 0 2 C 2 4 4 4 4 0 2 D 2 6 6 6 6 0 8 0 C 0 2 0 6 8 4 0 2 0 D 0 8 C 2 0 6 0 8 0 4 2 6 0 8 0 C 
MANIAC,2 6 2 6 2 4 2 4 2 6 2 6 2 4 2 4 2 6 2 4 2 6 2 4 2 6 2 4 2 8 2 8 2 6 2 4 2 6 2 4 2 6 2 8 2 4 2 8 6 2 6 8 6 2 6 8 6 4 6 4 6 2 6 2 4 6 4 6 4 8 4 8 4 2 4 8 4 2 7 0 ( 4 0 0 6 ) 0 4 0 8 2 6 ( 6 0 0 4 ) 0 6 0 8 2 4 ( 8 0 0 8 ) 0 8 0 4 6 2 8 0 8 0 8 4 2 0 ( 4 0 0 4 ) 0 4 ( 0 2 4 0 ) 6 2 ( 6 0 0 6 ) 0 6 ( 0 8 6 0 ) 4 2 ( 8 0 0 8 ) 0 8 ( 0 2 4 0 ) 6 2 ( 8 4 0 0 ) ( 2 4 0 0 ) ( 6 4 0 0 ) ( 2 4 0 0 ) 0 4 0 4 0 6 0 6 0 8 0 1 0 8 0 3 0 2 0 B 0 2 0 B 0 2 0 2 0 8 B 0 2 4 2 4 6 8 6 8 6 2 6 2 8 4 7 0 2 4 8 4 6 2 8 4 2 8 6 2 8 2 B 0 8 0 4 0 6 B B 0 B 0 2 0 B 4 2 0 8 4 2 8 6 2 2 0 1 0 7 0 8 6 3 0 B 0 2 0 6 2 4 0 B 0 2 0 4 2 6 0 B 0 3 0 6 8 3 0 9 0 1 0 7 6 2 0 4 0 3 0 6 0 1 0 8 0 6 1 0 4 3 0 8 6 6 4 6 6 2 6 6 6 4 4 8 4 B 3 
MANIAC,2 4 2 C 2 D 2 6 2 C 2 4 2 6 2 D 2 4 2 6 2 C 2 D 2 4 2 6 2 8 2 C 2 4 2 D 2 4 2 6 2 C 2 8 2 D 2 8 6 2 6 C 6 2 6 D 6 4 6 4 6 2 6 2 4 6 C 6 4 2 C 2 6 8 6 D 6 2 D 0 4 ( 0 6 ) 0 4 0 8 2 D 0 ( 0 4 ) 0 6 0 8 2 C 8 ( 0 8 ) 0 8 0 4 6 2 D 0 D 0 D 4 2 0 C ( 0 C ) 0 C ( 0 2 ) 4 6 2 D ( 0 D ) 0 D ( 0 8 ) 6 4 2 8 ( 0 8 ) 0 8 ( 0 2 ) 4 6 2 ( D 4 ) 0 ( 2 4 ) 0 ( 6 4 ) 0 ( 2 4 ) 0 0 C 0 C 0 6 0 6 0 8 0 F 0 8 0 J 0 4 0 H 0 2 0 I 0 2 0 2 0 8 B 0 2 4 2 4 6 8 6 8 6 2 D 2 8 4 I 0 2 C 8 4 6 2 8 4 2 8 6 2 D 2 B 0 8 0 4 0 D H I 0 B 0 2 0 B C 2 0 8 4 2 8 6 2 2 0 1 0 G 0 8 D 3 0 I 0 2 0 6 2 4 0 B 0 2 0 4 2 6 0 B 0 J 0 6 8 J 0 9 0 1 0 G D 2 0 4 0 3 0 D 0 7 0 2 0 6 1 0 C B 0 8 D 0 C 6 6 2 D 0 0 4 4 8 C I H 
SMANIAC,2 2 8 8 6 6 4 4 2 ( 0 2 ) 0 2 0 8 B 0 8 4 2 6 8 6 2 4 8 6 8 4 2 6 A 0 8 6 2 4 8 4 2 6 8 4 8 6 2 4 A 0 2 6 8 4 2 4 8 6 2 4 2 6 8 4 A 0 2 4 8 6 2 6 8 4 2 6 2 4 8 6 A 0 4 2 4 0 6 2 8 0 4 0 6 0 2 8 4 6 8 4 8 0 6 2 6 8 6 4 2 4 6 2 A 0 6 2 6 0 4 2 8 0 6 0 4 0 2 8 6 4 8 6 8 0 4 2 4 8 4 6 2 6 4 2 A 8 6 4 6 0 2 A 0 4 0 6 4 4 2 0 A 0 6 4 6 0 2 A 0 4 0 6 4 4 2 2 A 8 6 2 4 2 6 8 A 0 4 2 6 2 4 8 A 0 6 8 9 0 2 4 1 0 6 8 6 2 7 0 3 0 4 2 6 8 6 2 4 8 6 2 6 8 4 2 A 0 6 2 4 8 4 2 6 8 4 2 4 8 6 2 A 0 4 8 6 2 6 8 4 2 6 8 6 2 4 8 A 0 6 8 4 2 4 8 6 2 4 8 4 2 6 8 A 0 2 6 8 6 2 4 8 6 2 6 8 4 2 8 B 0 2 4 8 4 2 6 8 4 2 4 8 6 2 8 B 0 8 6 2 6 8 4 2 6 8 6 2 4 8 2 B 0 8 4 2 4 8 6 2 4 8 4 2 6 8 2 B 0 A 7 0 6 0 6 0 6 A 9 0 A 4 2 6 2 B 
MANIAC,2 4 2 6 2 6 2 4 6 4 6 4 2 4 2 8 6 4 2 8 6 8 4 8 6 2 6 8 4 6 8 2 6 4 6 2 4 8 4 2 6 8 6 2 4 8 4 2 6 8 4 6 2 4 8 2 6 4 4 2 8 B 0 6 2 4 6 4 8 2 4 8 6 6 4 4 6 8 2 2 6 8 8 4 2 4 8 6 4 2 6 [ 4 0 8 0 4 0 ] 2 0 4 2 2 0 ( B 0 0 2 ) 0 2 0 B 6 0 ( 8 0 0 4 ) 0 2 0 1 6 0 ( 4 0 0 6 ) 0 3 0 1 2 0 ( 6 0 0 A ) 0 6 0 8 1 0 ( B 0 0 2 ) 0 6 0 6 4 0 ( A 0 0 2 ) 0 1 0 A A 0 ( B 0 0 4 ) 0 3 0 2 1 0 ( 8 0 0 6 ) 0 3 4 8 2 4 6 2 2 6 2 8 2 4 6 2 4 6 8 2 6 4 4 8 2 6 2 1 6 B 4 2 2 0 8 4 4 6 2 8 6 2 4 8 6 8 [ 4 0 8 0 4 0 ] 2 0 B 2 2 0 ( 4 0 0 6 ) 0 2 4 6 6 0 ( 4 0 0 8 ) 0 3 6 4 4 0 ( 8 0 0 6 ) 0 3 4 6 2 0 ( 8 0 0 2 ) 0 1 8 6 2 0 ( 4 0 0 6 ) 0 B 8 2 2 0 ( 9 0 0 2 ) 0 B 8 2 6 2 2 4 2 4 8 6 2 0 [ 4 0 8 0 4 0 ] 2 0 7 6 6 0 ( 9 0 0 2 ) 0 1 8 4 4 0 ( 3 0 0 2 ) 0 6 4 6 6 0 ( 1 0 0 6 ) 0 2 8 6 2 0 3 0 B 
