label,text
BEGINNER,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 0 4 0 4 0 0 0 6 0 0 0 4 0 0 0 0 0 6 0 6 0 0 0 0 0 4 0 4 0 0 0 0 0 6 0 6 0 0 0 4 0 0 0 6 0 0 0 0 0 4 0 4 0 0 0 8 0 8 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 0 0 4 0 0 0 8 0 8 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 0 0 4 0 0 0 6 0 0 0 6 0 0 0 4 0 0 0 4 0 0 0 6 0 0 0 6 0 0 0 4 0 0 0 4 0 0 0 0 0 6 0 6 0 0 0 0 0 4 0 4 0 0 0 6 0 0 0 4 0 0 0 0 0 6 0 6 0 0 0 0 0 4 0 4 0 0 0 0 0 6 0 6 0 0 0 4 0 0 0 6 0 0 0 0 0 4 0 4 0 0 0 8 0 8 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 0 0 4 0 0 0 8 0 8 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 0 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 4 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 8 0 0 0 2 0 0 0 6 
BASIC,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 6 0 8 0 4 0 8 0 6 0 0 0 0 0 6 0 0 0 6 0 B 0 4 0 0 0 4 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 6 0 0 0 6 0 B 0 4 0 0 0 4 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 0 0 8 0 8 0 B 0 6 0 8 0 4 0 2 0 8 0 2 0 4 0 0 0 6 0 4 0 2 0 8 0 0 0 8 0 8 0 B 0 6 0 8 0 4 0 2 0 8 0 2 0 4 0 0 0 4 0 6 0 8 0 2 0 2 0 6 0 2 0 6 0 2 0 4 0 2 0 4 0 2 0 6 0 2 0 6 0 2 0 4 0 2 0 4 0 6 0 0 0 6 0 B 0 4 0 0 0 4 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 6 0 0 0 6 0 B 0 4 0 0 0 4 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 0 0 8 0 8 0 B 0 6 0 8 0 4 0 2 0 8 0 2 0 4 0 0 0 6 0 4 0 2 0 8 0 0 0 8 0 8 0 B 0 6 0 8 0 4 0 2 0 8 0 2 0 6 0 0 0 4 0 6 0 8 0 2 0 0 0 2 0 6 0 2 0 4 0 2 0 6 0 2 0 4 0 2 0 6 0 2 0 4 0 8 0 2 0 B 0 0 0 2 0 4 0 2 0 6 0 2 0 4 0 2 0 6 0 2 0 4 0 2 0 6 0 8 0 2 0 B 
ANOTHER,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 6 0 8 0 4 0 8 0 6 0 0 0 0 0 8 0 0 0 A 0 B 0 8 0 0 0 A 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 8 0 0 0 A 0 B 0 8 0 0 0 A 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 0 0 8 0 8 0 B 0 6 0 9 0 4 0 1 0 8 0 2 0 1 0 0 0 6 0 4 0 2 0 9 0 0 0 8 0 8 0 B 0 6 0 9 0 4 0 1 0 8 0 2 0 3 0 0 0 4 0 6 0 8 0 1 0 2 0 6 0 2 0 6 0 2 0 4 0 2 0 4 0 2 0 6 0 2 0 6 0 2 0 4 0 2 0 4 0 8 0 0 0 A 0 B 0 8 0 0 0 A 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 8 0 0 0 A 0 B 0 8 0 0 0 A 0 B 0 0 0 6 0 2 0 4 0 8 0 6 0 4 0 B 0 0 0 8 0 8 0 B 0 6 0 9 0 4 0 1 0 8 0 2 0 1 0 0 0 6 0 4 0 2 0 9 0 0 0 8 0 8 0 B 0 6 0 9 0 4 0 1 0 8 0 2 0 3 0 0 0 4 0 6 0 8 0 1 0 0 0 2 0 6 0 2 0 4 0 2 0 6 0 2 0 4 0 2 0 6 0 2 0 4 0 8 0 2 0 B 0 0 0 2 0 4 0 2 0 6 0 2 0 4 0 2 0 6 0 2 0 4 0 2 0 6 0 8 0 2 0 B 
MANIAC,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 8 0 2 0 B 0 4 2 8 0 2 0 B 0 6 2 4 0 2 0 6 0 2 4 2 0 6 0 4 0 2 6 8 0 2 0 B 0 6 2 8 0 2 0 B 0 4 2 6 0 2 0 4 0 2 6 2 0 4 0 6 0 4 6 B 0 8 0 B 0 4 2 8 0 9 0 1 0 0 0 6 0 2 0 4 8 6 0 2 0 4 0 6 0 2 4 8 0 8 0 B 0 6 2 8 0 7 0 3 0 0 0 4 0 2 0 6 8 4 0 2 0 6 0 4 0 6 4 B 0 8 0 6 0 8 6 8 0 6 0 8 0 6 8 4 0 8 0 4 0 8 4 8 0 4 0 8 0 2 8 8 0 2 0 B 0 4 2 8 0 2 0 B 0 6 2 4 0 2 0 6 0 2 4 2 0 6 0 4 0 2 6 8 0 2 0 B 0 6 2 8 0 2 0 B 0 4 2 6 0 2 0 4 0 2 6 2 0 4 0 6 0 4 6 B 0 8 0 B 0 4 2 8 0 9 0 1 0 0 0 6 0 2 0 4 8 6 0 2 0 4 0 6 0 2 4 8 0 8 0 B 0 6 2 8 0 7 0 3 0 0 0 4 0 2 0 6 8 4 0 2 0 6 0 4 0 6 4 B 0 8 0 6 0 8 6 8 0 4 0 8 0 4 8 6 0 8 0 6 0 8 6 2 0 4 0 6 0 4 6 B 0 2 0 4 0 2 4 2 0 6 0 2 0 6 2 4 0 2 0 4 0 2 4 8 0 6 0 4 0 B 
SMANIAC,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 ( 8 0 0 2 ) 6 4 8 0 1 0 ( 6 0 0 4 ) 8 2 6 4 7 0 ( 2 6 0 0 ) ( 6 2 0 0 ) ( 2 4 0 0 ) ( 4 2 0 0 ) 8 4 8 6 8 2 A 0 ( 6 0 0 4 ) 8 2 6 0 7 0 ( 2 0 0 6 ) 8 2 4 6 9 0 ( 2 4 0 0 ) ( 4 2 0 0 ) ( 2 6 0 0 ) ( 6 2 0 0 ) 8 6 8 4 8 2 A 0 9 ! 8 0 4 0 9 0 6 2 6 8 4 8 6 4 B 0 ( 8 4 0 0 ) 6 6 ( 8 6 0 0 ) 4 4 6 8 4 8 6 2 A 0 3 ! 2 0 4 0 3 0 4 8 4 2 6 2 4 6 B 0 ( 2 6 0 0 ) 4 4 ( 2 4 0 0 ) 6 6 4 2 6 2 4 8 A 0 4 2 ( 4 0 2 4 ) ( 0 2 4 0 ) 2 4 6 2 ( 6 0 2 6 ) ( 0 2 6 0 ) 8 6 4 6 ( 4 0 6 4 ) ( 0 6 4 0 ) 6 4 8 2 ( 8 0 2 8 ) ( 0 2 8 0 ) 4 6 ( 2 0 0 8 ) 4 6 2 0 9 6 ( 4 0 0 6 ) 2 8 4 6 3 0 ( 8 4 0 0 ) ( 4 8 0 0 ) ( 8 6 0 0 ) ( 6 8 0 0 ) 2 6 2 4 2 8 A 8 ( 4 0 0 6 ) 2 8 4 0 3 2 ( 8 0 0 4 ) 2 8 6 4 1 0 ( 8 6 0 0 ) ( 6 8 0 0 ) ( 8 4 0 0 ) ( 4 8 0 0 ) 2 4 2 6 2 8 A 0 1 ! 2 0 6 0 1 0 4 2 4 8 6 8 4 6 B 0 ( 2 6 0 0 ) 8 8 ( 2 4 0 0 ) 8 8 4 2 6 2 4 8 A 0 7 ! 8 0 6 0 7 0 6 8 6 2 4 2 6 4 B 0 ( 8 4 0 0 ) 2 2 ( 8 6 0 0 ) 2 2 6 8 4 8 6 2 A 8 ( 4 0 0 2 ) 4 6 8 2 2 8 ( 6 0 0 2 ) 6 4 8 2 2 8 ( 4 0 0 6 ) 8 2 4 6 6 2 8 4 6 4 2 2 A 0 ( 6 0 0 2 ) 6 4 8 2 2 8 ( 4 0 0 2 ) 4 6 8 2 2 8 ( 6 0 0 4 ) 8 2 6 4 4 2 8 6 4 6 2 0 A 
BASIC,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 C 0 6 0 D 0 4 0 C 0 6 0 0 0 0 0 6 0 0 0 D 0 B 0 C 0 0 0 C 0 B 0 0 0 D 0 2 0 4 0 8 0 6 0 C 0 B 0 D 0 0 0 D 0 B 0 C 0 0 0 C 0 B 0 0 0 D 0 2 0 4 0 8 0 6 0 C 0 B 0 0 0 D 0 C 0 B 0 D 0 8 0 4 0 2 0 8 0 2 0 C 0 0 0 6 0 4 0 2 0 8 0 0 0 C 0 D 0 B 0 D 0 8 0 4 0 2 0 8 0 2 0 6 0 0 0 C 0 D 0 8 0 2 0 2 0 6 0 2 0 D 0 2 0 4 0 2 0 C 0 2 0 6 0 2 0 D 0 2 0 4 0 2 0 C 0 6 0 0 0 D 0 B 0 C 0 0 0 C 0 B 0 0 0 D 0 2 0 4 0 8 0 6 0 C 0 B 0 D 0 0 0 D 0 B 0 C 0 0 0 C 0 B 0 0 0 D 0 2 0 4 0 8 0 6 0 C 0 B 0 0 0 D 0 C 0 B 0 D 0 8 0 4 0 2 0 8 0 2 0 C 0 0 0 D 0 C 0 2 0 8 0 0 0 C 0 D 0 B 0 D 0 8 0 4 0 2 0 8 0 2 0 6 0 0 0 C 0 D 0 8 0 2 0 0 0 2 0 6 0 2 0 4 0 2 0 D 0 2 0 C 0 2 0 6 0 2 0 4 0 8 0 2 0 B 0 0 0 2 0 C 0 2 0 D 0 2 0 4 0 2 0 6 0 2 0 C 0 2 0 D 0 2 0 8 0 B 
ANOTHER,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 D 0 0 2 0 B 0 4 2 C 0 2 0 B 0 D 2 C 0 2 0 6 0 2 4 2 0 D 0 C 0 2 6 8 0 2 0 B 0 6 2 8 0 2 0 B 0 4 2 8 0 6 0 2 0 D 4 D 0 C 0 6 0 4 D 2 0 8 0 B 0 C 2 8 0 H 0 1 0 0 0 8 0 6 0 4 8 2 0 2 0 4 0 D 0 2 4 8 0 C 0 B 0 8 6 C 0 1 0 9 0 0 0 C 0 2 0 D 6 8 0 2 0 4 0 6 0 C 2 8 0 C 0 6 0 8 6 8 0 6 0 C 0 6 4 8 0 8 0 4 0 D 4 D 0 4 0 8 0 2 D 0 0 2 0 B 0 4 2 8 0 2 0 B 0 D 2 C 0 2 0 6 0 2 4 2 0 6 0 4 0 2 6 8 0 2 0 B 0 D 2 8 0 2 0 B 0 C 2 6 0 2 0 C 0 2 6 2 0 4 0 D 0 C 8 2 0 D 0 B 0 4 2 8 0 H 0 I 0 0 0 6 0 2 0 4 D 2 0 2 0 4 0 8 0 C 2 8 0 D 0 B 0 D 2 8 0 I 0 H 0 0 0 8 0 2 0 4 6 2 0 D 0 4 0 8 0 C 2 8 0 6 0 4 0 8 C 8 0 4 0 2 0 8 6 C 0 8 0 2 0 D 4 2 0 8 0 6 0 4 8 2 0 D 0 C 0 2 4 2 0 8 0 6 0 C 2 D 0 2 0 4 0 8 4 C 0 4 0 6 0 A 
MANIAC,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 D 0 2 ( 0 D ) 0 4 2 0 C 0 2 ( 0 C ) 0 6 2 0 8 4 2 8 6 C 0 0 D 2 8 4 2 8 8 0 6 2 4 2 C 0 0 0 6 2 D 4 2 0 0 0 8 6 2 8 4 D 0 0 4 2 8 6 4 D 0 0 2 8 4 2 C 0 0 0 6 8 D C 8 0 0 0 4 6 2 2 2 0 I 0 8 2 C 0 0 0 B 0 8 2 D 4 2 2 2 0 C 6 8 D 4 0 H 0 D 8 2 2 2 0 B 0 8 2 D 0 0 0 B 0 2 8 6 C D 0 0 0 2 8 4 2 C 0 B 0 D 0 C ( 0 8 ) 0 4 2 0 8 0 6 ( 0 C ) 0 8 2 0 D 0 4 ( 0 6 ) 0 C 2 0 8 0 6 ( 0 2 ) 0 D 4 0 C 6 8 2 4 8 8 0 2 D 4 2 8 6 6 0 4 8 2 6 4 4 4 0 D 8 2 C 6 0 0 0 4 8 2 D 4 2 2 0 8 6 4 2 C 6 6 0 2 8 4 C 2 2 2 0 D 4 2 8 6 0 0 0 C D 2 2 2 0 B 0 C 2 8 8 8 0 B 0 8 C D 8 6 6 6 0 D 2 8 4 C 0 B 0 2 8 C 0 0 0 B 0 8 2 C 0 0 0 B 0 2 D 4 8 C 0 0 0 2 8 6 2 D 0 B 0 0 2 0 8 4 D 8 0 0 6 0 4 2 8 6 0 0 C 0 2 4 8 C 0 6 4 2 8 6 0 0 0 0 C 0 2 4 6 2 0 0 8 0 4 6 2 D 0 0 4 0 2 8 6 D 0 2 4 8 C 6 0 I 
BEGINNER,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 0 0 0 0 4 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 B 0 0 0 0 0 0 0 0 0 6 0 0 0 6 0 0 0 4 0 0 0 4 0 0 0 6 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 6 0 0 0 6 0 0 0 0 0 2 0 0 0 0 0 0 0 8 0 0 0 0 0 2 0 0 0 0 0 6 0 6 0 6 0 0 0 B 0 0 0 0 0 0 0 8 0 0 0 4 0 4 0 4 0 0 0 0 0 0 0 2 0 0 0 8 0 8 0 0 0 B 0 0 0 0 0 2 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 4 0 0 0 8 0 0 0 0 0 B 0 0 0 0 0 2 0 0 0 8 0 8 0 8 0 0 0 0 0 0 0 6 0 0 0 4 0 4 0 0 0 B 0 0 0 0 0 8 0 0 0 2 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 8 
BASIC,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 8 0 0 0 8 0 0 0 6 0 0 0 6 0 0 0 2 0 0 0 2 0 0 0 8 0 0 0 8 0 0 0 4 0 0 0 4 0 0 0 2 0 0 0 2 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 8 0 2 0 8 0 2 0 8 0 0 0 4 0 0 0 2 0 8 0 2 0 8 0 2 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 8 0 6 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 8 0 2 0 8 0 2 0 8 0 0 0 4 0 0 0 2 0 8 0 2 0 8 0 2 0 0 0 6 0 0 0 4 0 0 0 6 0 0 0 4 0 8 0 6 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 4 0 0 0 8 0 0 0 2 
